id,data_lancamento,descricao,categoria,forma_pagamento,operadora,tipo,valor,parcela_atual,total_parcelas,vencimento
A1B2C3D4,2026-09-06,Supermercado Cariri,Alimentação,Crédito,Nubank,Crédito,150.00,1,3,2026-09
A1B2C3D4,2026-09-06,Supermercado Cariri,Alimentação,Crédito,Nubank,Crédito,150.00,2,3,2026-10
A1B2C3D4,2026-09-06,Supermercado Cariri,Alimentação,Crédito,Nubank,Crédito,150.00,3,3,2026-11
E9F8G7H6,2026-09-05,Farmácia Santa Luzia,Saúde,Débito,Banco do Brasil,Débito,42.90,1,1,2026-09
J1K2L3M4,2026-09-04,Loja Fashion,Vestuário,Crédito,Caixa,Crédito,89.90,1,2,2026-09
J1K2L3M4,2026-09-04,Loja Fashion,Vestuário,Crédito,Caixa,Crédito,89.90,2,2,2026-10
N7O8P9Q1,2026-09-06,Padaria Pão Doce,Alimentação,Pix,Itaú,Pix,18.50,1,1,2026-09
R2S3T4U5,2026-09-03,Fone Bluetooth,Eletrônicos,Crédito,Santander,Crédito,59.90,1,4,2026-09
R2S3T4U5,2026-09-03,Fone Bluetooth,Eletrônicos,Crédito,Santander,Crédito,59.90,2,4,2026-10
R2S3T4U5,2026-09-03,Fone Bluetooth,Eletrônicos,Crédito,Santander,Crédito,59.90,3,4,2026-11
R2S3T4U5,2026-09-03,Fone Bluetooth,Eletrônicos,Crédito,Santander,Crédito,59.90,4,4,2026-12
